i-GqTVVDjJXYwXJFxbmhLeYz	Följande skrivelser hade kommit in:
i-KWf8WHAEGjw1Az3pnZNLEt	Efter att dokument relaterade till den härvan förra året läckte till en grupp grävande journalister svarade socialdemokraterna med att hota journalisterna med hundratals miljoner kronor i böter enligt EU:s dataskyddsförordning. För ett par veckor sedan försökte samma socialdemokrater förbjuda oppositionspartier från att delta i valet till Europaparlamentet.
i-Go3rGXCi7GtntDcZ1Vd3y	Fru talman! Det ser med andra ord ut som att den demokratiska situa ­ tionen i Rumänien är minst sagt ansträngd. Kommissionen genomför ock ­ så en granskning av Rumänien inom den så kallade samarbets- och kon ­ trollmekanismen. I en uppföljningsrapport från november 2018 på ­ pekar kommissionen att även om vissa framsteg gjorts går utvecklingen vad gäller korruption och rättsstatens principer bakåt.
i-Db6eqT3HbxTwA76eyxr3a	Bland annat noterade kommissionen att ny lagstiftning försvårar garantierna för rättsväsendets oberoende. Ändringar av lagarna om rättsväsendet har exempelvis försvagat Högsta rättsrådet och den rumänske presidentens roll i förfarandet för utnämning av högt uppsatta åklagare.
i-NF88a66agAZaSxPiV6iGG1	Påtryckningar mot den särskilda korruptionsåklagaren bedöms ha skadat dennes oberoende. Regeringen har också antagit en ny undantagsförordning för att ändra tjänstetidskraven hos korruptionsåklagaren, vilket kan få ytterligare negativa konsekvenser för dennes operativa kapacitet. Allt detta har skapat oro angående institutionernas fortsatta förmåga att åstadkomma resultat i kampen mot korruption i landet.
i-DiNL6NHbbMBtjgae73SW9	Fru talman! Det är uppenbart att statsrådet känner till situationen i Rumänien. Jag tror faktiskt att Sveriges regering är ärlig när den uttrycker sin oro för situationen där. Men statsrådet väljer ändå att på något sätt ducka för frågan som jag ställer i interpellationen.
i-6fVUwfsVaKedn1SNeX7TKd	Själva kärnan i frågan handlar om huruvida Sveriges regering anser att Rumäniens regerings agerande fortfarande är i enlighet med artikel 2 i fördraget. Det är vad jag vill ha ett svar på.
i-PMVDpDEKKmHtUUwC6bKL6n	Fru talman! Det är allvarliga anklagelser som riktas mot den rumänska regeringen. Många av de saker som Ludvig Aspling redovisar här är oroande. Det är också sådant som EU-kommissionen har tagit fasta på. Det har skett med utgångspunkt från vad som står i artikel 2 i EU-fördraget. Man hade inte behövt vara så oroad och bekymrad över utvecklingen om man inte hade befarat att det skulle komma att strida mot den artikeln.
i-MoJARjUfaELEVHcoGR2d58	Det är ett arbete som ska fortsätta. Jag har själv hört från Frans Tim ­ mermans att han inte är nöjd med det sätt på vilket den rumänska regering ­ en hittills har uppfyllt de rekommendationer som utfärdats. Man har också lagt till lista efter lista med rekommendationer till den rumänska reger ­ ingen.
i-KB7K9fiTS2mKij3NN4zuz4	Vi förväntar oss att den rumänska regeringen ska lyssna noga på vad kommissionen säger men också lyssna på den stora grupp av likasinnade länder som nu pekar på allt fler instrument som vi kan använda för att komma till rätta med brott mot rättsstatens principer.
i-41FhXeyJCp1ayUiybMs5M7	Det är inte bara det förfarande som gäller Rumänien och Bulgarien. Vi har också förfarandena enligt artikel 7 i förhållande till Ungern och Polen som är bekanta. Vi har en ny tanke som har lanserats i EU-kretsen om att ha ett slags gemensamt granskningsförfarande där varje medlemsstat i uni ­ onen skulle få visa hur man uppfyller rättsstatens principer.
i-3vuFxt44fXskvcYMGrGy9g	Sedan finns det ett förslag från kommissionen inför det budgetarbete som just nu pågår. De länder som inte fullt ut respekterar rättsstatens principer ska inte heller fullt ut få ta emot lika mycket bidrag från EU-budgeten som de annars skulle ha fått. Det visar på allvaret i den här frågan.
i-TezhNc4kUhPR6aBnsWBWXj	Fru talman! Återigen är det uppenbart så att statsrådet känner till och är oroad över situationen. Jag tänkte bara kort påminna om vad som faktiskt står i artikel 2.
i-5s4CGRSovLQDJ4cnUA8VDW	”Unionen ska bygga på värdena respekt för människans värdighet, frihet, demokrati, jämlikhet, rättsstaten och respekt för de mänskliga rättigheterna, inklusive rättigheter för personer som tillhör minoriteter. Dessa värden ska vara gemensamma för medlemsstaterna i ett samhälle som kännetecknas av mångfald, icke-diskriminering, tolerans, rättvisa, solidaritet och principen om jämställdhet mellan kvinnor och män.”
i-WVpwp8MbGfASwCApeb2k1J	Om man tar på sig juristhatten lite grann ser man direkt att det är en paragraf som inte kan tillämpas på ett direkt juridiskt sätt därför att den är alldeles för luddigt skriven. Den är för vid och ger utrymme för alldeles för mycket tolkning. Jag kan på något sätt förstå att det är svårt att svara på frågan om en viss medlemsstats agerande faller inom ramen för detta eller inte. De här begreppen kan tolkas på väldigt många olika sätt.
i-Xnq7HJscFB7v4WX2F9DtjB	Det är också viktigt att komma ihåg att de länder som det ofta är frågan om när man talar om att vissa länder inte sköter den offentliga förvaltningen på ett perfekt sätt är nya medlemsstater. Den process som pågår innan en medlemsstat upptas har varit alldeles för slapp. Unionen ställer alldeles för låga krav på nya medlemsstater. Det kan vara någonting att ta med sig nu när unionen är på väg att uppta länder som till exempel Montenegro eller Albanien i en inte alltför avlägsen framtid.
i-5SvxA9KDE2Kg5Zbzq248Zr	Det som jag dock saknar är ett rakt svar på den fråga som jag återigen måste påpeka är kärnan i interpellationen. Det gäller huruvida Rumäniens agerande ligger inom ramen för artikel 2 eller inte. Den frågan är i någon mån digital. Antingen anser regeringen att agerandet gör det eller så anser regeringen att det inte gör det.
i-Gbhuvbzmy9asdpwVDbMGXb	Att påpeka att det pågår ett antal processer för att utvärdera Rumänien, Bulgarien eller andra länder är naturligtvis bra i och för sig. Men det är inte den frågan som jag ställer i interpellationen. Interpellationen handlar om huruvida den här regeringen anser att Rumäniens agerande ligger i linje med artikel 2 eller huruvida Rumäniens regering bryter mot artikel 2. Det skulle jag vilja ha ett rakt svar på.
i-3FWGuXeb3peAhuGAydoBDJ	Fru talman! Jag tror att jag ganska tydligt både i det inledande svaret och i mitt första inlägg gjorde klart att den svenska regeringen ser mycket allvarligt på de brister när det gäller respekt för rättsstatens principer som finns i Rumänien. Därmed anser jag att jag har svarat på frågan.
i-CisjhWy3qabme4xqHXR2mA	Här finns en tydlig kritik mot maktmissbruk, korruption och hur man har skaffat sig ett politiskt inflytande över rättsväsendet. Det handlar om hur man har motarbetat Laura Codruta Kövesi , som Ludvig Aspling nämnde, när hon sökte uppdraget som chef för Europeiska åklagarmyndigheten. Det är en kritik som vi framför till de länder där det finns anledning att göra det oberoende av vilket parti som sitter i regeringsställning.
i-3sq7r38P6pTCVSJbdSLTGs	Fru talman! S e allvarligt på situationen gör vi alla. Att uttrycka tydlig kritik är i och för sig bra. Men det är fortfarande inte det som interpella ­ tionen handlar om. Det som vi vill ha ett rakt svar på är en ja-eller-nej-fråga. Anser regeringen att Rumäniens agerande ligger inom ramen för ar ­ tikel 2 eller anser regeringen att det inte gör det? Det är en väldigt enkel fråga. Det borde statsrådet kunna svara på, tycker jag.
i-Y88Av81bi5nNehNjhLxwH7	Vad gäller hela processen och det faktum att statsrådet vägrar att svara på frågan pekar lite grann på att det finns en dubbel måttstock inom unio ­ nen. Man tillämpar helt enkelt en regelbok för socialdemokrater och en annan regelbok för icke-socialdemokrater. Det blir ganska uppenbart, och jag ser väldigt allvarligt på det.
i-KeVZJnGtXXGdj4jNpvkckQ	När man diskuterar frågor om rättsstatens principer finns det ytterligare en princip som är bra att komma ihåg. Det är att lika fall ska behandlas lika. Det är viktigt att komma ihåg. Jag skulle gärna vilja att statsrådet svarade nu i det sista inlägget. Anser han att Rumäniens agerande ligger inom artikel 2 eller inte? Det är väldigt enkelt. Det är en fråga om ja eller nej.
i-22DzUQWRJXKjmAGMbqe8nW	Fru talman! Jag vill upprepa vad jag sa alldeles nyss till Ludvig Aspling: Vi har vår uppfattning i de här frågorna oberoende av vilket parti som sitter i regeringsställning. Ludvig Aspling ifrågasatte att vi bedömer olika länder lika och menade att det är beroende av vilket parti som sitter vid styret. Detta är inte korrekt. Vi har inte dubbla måttstockar på det sättet.
i-Aouay4yav79Wt8PLKrZhrS	Jag kan upprepa vad jag sa tidigare när det gäller artikel 2. Den svenska regeringen anser att det är uppenbart att den rumänska regeringen inte respekterar det som är så tydligt uttryckt i artikel 2 om att respektera rättsstatens principer.
i-8S5Lc79E3aWwKdbhWCBPvr	Följande frågor för skriftliga svar hade framställts:
i-7He8odkhSmU7aaXTGf8Lkd	Skriftligt svar på följande fråga hade kommit in:
